ventas,costo_mp,sueldos_totales,gastos,utilidad,dias,almuerzos_diarios,precio_almuerzo,precio_carne
6975336.216059408,1890473.428732853,3070400.0,2109326.9779222035,-94864.19059564825,22.85998266606814,82.84637028852082,3683.119105391608,6428.294463838151
8446838.245643893,2015490.033412251,3070400.0,2287959.159294437,1072989.0529372059,22.119958012476502,95.7246857846871,3989.2010982731485,6270.0682415300835
8074095.703001893,1905081.8045751196,3070400.0,2245689.5326441624,852924.365782612,24.453982644390493,85.89684966242355,3843.855536083567,5548.967428246058
9746209.94660239,2345700.535871497,3070400.0,2461398.7938875323,1868710.6168433605,23.110243464682174,109.2246965726623,3861.094177170406,5843.096175364471
9397370.73946777,2331151.2631653324,3070400.0,2427993.5725339274,1567825.9037685096,22.737317281358443,113.92888544610528,3627.7160788875344,5591.229689123024
8384297.692326018,2116914.3181176074,3070400.0,2290917.089464115,906066.2847442953,22.206592052959135,101.25782644844884,3728.6891133672475,5898.227834489887
7612829.715011202,1903626.4288604315,3070400.0,2195012.6743091675,443790.61184160225,23.584531988786207,89.09873965013483,3622.824468108362,5562.0247195117545
8427448.216021512,2066414.1653337486,3070400.0,2298800.761861071,991833.2888266919,22.78660735150419,100.51603584440011,3679.4344581615724,5604.498161699352
9962443.129495166,2315516.8000822607,3070400.0,2488686.543034065,2087839.78637884,24.24484865880074,106.03918465492526,3875.073978660372,5661.782128791447
9282520.427582184,2132541.510975113,3070400.0,2397023.1314405715,1682555.7851664992,24.84770611812508,94.41294557605764,3956.8361284318876,5518.161794701668
8278387.230840728,2216557.210399375,3070400.0,2287816.0636759,703613.9567654533,22.592443201787002,104.57388587903556,3503.961225703658,5974.15951400409
8587741.129489915,2242496.1363470927,3070400.0,2320994.1399844396,953850.8531583827,23.08465572738199,101.85271568731797,3652.4386462508432,6045.072722224164
8236985.6199194435,1961189.5321738282,3070400.0,2263583.414566706,941812.6731789093,23.401387810581973,89.7468119700375,3922.0006711042543,5791.06114692377
10455109.794721032,2603446.9895578367,3070400.0,2549938.621915778,2231324.183247417,24.310568887231902,109.62395021063801,3923.087806923472,6349.844479665457
8779549.598828128,2301226.172241083,3070400.0,2343807.5439046277,1064115.8826824175,24.99064135358242,94.99934289495356,3698.0623865313346,6338.980696320056
